 Base_Id,Budget_Fiscal_Year,Fiscal_Period,Payment Date,Cabinet_Secretariat,Department,Appropriation_Type,Appropriation,Object_Class,Object_Code,Encumbrance ID,Zip_Code,Amount,Fund,Fund_Code,Appropriation_Code,Object,Department_Code,Vendor,Vendor_Id,Payment ID,Payment_Method,State,City,Create_Date,   Base_Id,       Base_Id,    Base_Id,      Base_Id
539380558.0,2025,10,2025-04-17T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,OFFICE FOR REFUGEES AND IMMIGRANTS (ORI),(4FN) FEDERAL GRANTS,(40030821) SCHOOL IMPACT,(MM) PURCHASED CLIENT/PROGRAM SVCS,(M03) PURCHASED HUMAN & SOCIAL SERVICES FOR CLIENTS/NON MEDICAL,(CT) CTORI010025RSI000008,03103,3601.06,FEDERAL GRANTS FUND,100,40030821,M03,ORI,ORGANIZATION REFUGEE & IMMIGRANT SUCCESS,UNASSIGNED,INTF010025SI00000098,EFT,NH,MANCHESTER,2026-02-13T13:38:24.000,,,,
539368802.0,2025,4,2024-10-31T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,OFFICE FOR REFUGEES AND IMMIGRANTS (ORI),(4FN) FEDERAL GRANTS,(40030855) REFUGEE SOCIAL SERVICES PROGRAM,(MM) PURCHASED CLIENT/PROGRAM SVCS,(M03) PURCHASED HUMAN & SOCIAL SERVICES FOR CLIENTS/NON MEDICAL,(CT) CTORI010024SAS000008,02119,1825.0,FEDERAL GRANTS FUND,100,40030855,M03,ORI,REFUGEE & IMMIGRANT ASSIST. CENTER,UNASSIGNED,INTF010025AS00000035,EFT,MA,BOSTON,2026-02-13T13:38:24.000,,,,
539344592.0,2025,4,2024-10-29T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,OFFICE FOR REFUGEES AND IMMIGRANTS (ORI),(4FN) FEDERAL GRANTS,(40030855) REFUGEE SOCIAL SERVICES PROGRAM,(MM) PURCHASED CLIENT/PROGRAM SVCS,(M03) PURCHASED HUMAN & SOCIAL SERVICES FOR CLIENTS/NON MEDICAL,(CT) CTORI010024RCM000008,02119,900.0,FEDERAL GRANTS FUND,100,40030855,M03,ORI,REFUGEE & IMMIGRANT ASSIST. CENTER,UNASSIGNED,INTF010025CM00000026,EFT,MA,BOSTON,2026-02-13T13:38:24.000,,,,
539342057.0,2025,5,2024-11-07T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,OFFICE FOR REFUGEES AND IMMIGRANTS (ORI),(4FN) FEDERAL GRANTS,(40030860) AFGHAN REFUGEE SOCIAL SERVICE,(MM) PURCHASED CLIENT/PROGRAM SVCS,(M03) PURCHASED HUMAN & SOCIAL SERVICES FOR CLIENTS/NON MEDICAL,(CT) CTORI010024RCMA00008,02119,11696.34,FEDERAL GRANTS FUND,100,40030860,M03,ORI,REFUGEE & IMMIGRANT ASSIST. CENTER,UNASSIGNED,INTF010025CMA0000043,EFT,MA,BOSTON,2026-02-13T13:38:24.000,,,,
539331879.0,2025,13,2025-07-22T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,OFFICE FOR REFUGEES AND IMMIGRANTS (ORI),(4FN) FEDERAL GRANTS,(40030855) REFUGEE SOCIAL SERVICES PROGRAM,(MM) PURCHASED CLIENT/PROGRAM SVCS,(M03) PURCHASED HUMAN & SOCIAL SERVICES FOR CLIENTS/NON MEDICAL,(CT) CTORI010025SAS000008,02119,6957.7,FEDERAL GRANTS FUND,100,40030855,M03,ORI,REFUGEE & IMMIGRANT ASSIST. CENTER,UNASSIGNED,INTF010025AS00000128,EFT,MA,BOSTON,2026-02-13T13:38:24.000,,,,
539320891.0,2025,10,2025-04-07T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,OFFICE FOR REFUGEES AND IMMIGRANTS (ORI),(4FN) FEDERAL GRANTS,(40030830) REFUGEE SUPPORT SERVICES UKRAINE BASE,(MM) PURCHASED CLIENT/PROGRAM SVCS,(M03) PURCHASED HUMAN & SOCIAL SERVICES FOR CLIENTS/NON MEDICAL,(CT) CTORI010025SASU00009,02119,1600.14,FEDERAL GRANTS FUND,100,40030830,M03,ORI,REFUGEE & IMMIGRANT ASSIST. CENTER,UNASSIGNED,INTF010025ASU0000058,EFT,MA,BOSTON,2026-02-13T13:38:24.000,,,,
539315173.0,2025,9,2025-03-06T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,OFFICE FOR REFUGEES AND IMMIGRANTS (ORI),(4FN) FEDERAL GRANTS,(40030855) REFUGEE SOCIAL SERVICES PROGRAM,(MM) PURCHASED CLIENT/PROGRAM SVCS,(M03) PURCHASED HUMAN & SOCIAL SERVICES FOR CLIENTS/NON MEDICAL,(CT) CTORI010025RCM000009,02119,4813.68,FEDERAL GRANTS FUND,100,40030855,M03,ORI,REFUGEE & IMMIGRANT ASSIST. CENTER,UNASSIGNED,INTF010025CM00000067,EFT,MA,BOSTON,2026-02-13T13:38:24.000,,,,
539298256.0,2025,12,2025-06-30T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,OFFICE FOR REFUGEES AND IMMIGRANTS (ORI),(4FN) FEDERAL GRANTS,(40030826) 13 REFUGEE CASH AND MEDICAL ASSISTANCE,(MM) PURCHASED CLIENT/PROGRAM SVCS,(M03) PURCHASED HUMAN & SOCIAL SERVICES FOR CLIENTS/NON MEDICAL,(CT) CTORI010025RCAADM009,02119,12253.51,FEDERAL GRANTS FUND,100,40030826,M03,ORI,REFUGEE & IMMIGRANT ASSIST. CENTER,UNASSIGNED,INTF010025CAAD000080,EFT,MA,BOSTON,2026-02-13T13:38:24.000,,,,
539219390.0,2025,5,2024-12-03T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,OFFICE FOR REFUGEES AND IMMIGRANTS (ORI),(4FN) FEDERAL GRANTS,(40030854) REFUGEE HEALTH PROMOTION,(MM) PURCHASED CLIENT/PROGRAM SVCS,(M03) PURCHASED HUMAN & SOCIAL SERVICES FOR CLIENTS/NON MEDICAL,(CT) CTORI010024RHP000010,03103,8436.14,FEDERAL GRANTS FUND,100,40030854,M03,ORI,ORGANIZATION REFUGEE & IMMIGRANT SUCCESS,UNASSIGNED,INTF010025HP00000057,EFT,NH,MANCHESTER,2026-02-13T13:38:24.000,,,,
539194410.0,2025,8,2025-02-25T00:00:00.000,EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,OFFICE FOR REFUGEES AND IMMIGRANTS (ORI),(4FN) FEDERAL GRANTS,(40030860) AFGHAN REFUGEE SOCIAL SERVICE,(MM) PURCHASED CLIENT/PROGRAM SVCS,(M03) PURCHASED HUMAN & SOCIAL SERVICES FOR CLIENTS/NON MEDICAL,(CT) CTORI010025SASA00009,02119,5952.39,FEDERAL GRANTS FUND,100,40030860,M03,ORI,REFUGEE & IMMIGRANT ASSIST. CENTER,UNASSIGNED,INTF010025ASA0000048,EFT,MA,BOSTON,2026-02-13T13:38:24.000,,,,
